,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
351,keningau,75,MY,1561588671,83,5.33,116.16,78.01,2.24
352,nago,0,IT,1561588671,69,45.88,10.89,84.0,3.36
353,oranjemund,0,ZA,1561588671,77,-28.55,16.43,54.95,8.28
354,calabozo,13,VE,1561588672,83,8.92,-67.43,76.55,3.0
355,honiara,20,SB,1561588672,79,-9.43,159.96,84.2,1.79
356,ponta do sol,78,BR,1561588590,57,-20.63,-46.0,66.47,4.43
357,college,75,US,1561588672,20,64.86,-147.8,77.0,4.7
358,thinadhoo,55,MV,1561588672,72,0.53,72.93,83.21,5.99
359,paita,0,PE,1561588672,290,-5.09,-81.11,62.6,14.99
360,karratha,91,AU,1561588515,53,-20.74,116.85,68.09,2.84
361,parkes,0,AU,1561588672,66,-33.14,148.18,55.99,1.99
362,sibolga,82,ID,1561588672,79,1.74,98.78,81.59,8.12
363,beipiao,96,CN,1561588673,46,41.8,120.76,76.19,5.82
364,tynset,69,NO,1561588673,81,62.28,10.78,44.6,9.17
365,walvis bay,52,NA,1561588673,87,-22.95,14.51,59.0,9.17
366,robertson,20,AU,1561588673,100,-34.59,150.59,52.0,5.82
367,pacific grove,1,US,1561588673,63,36.62,-121.92,77.0,11.41
368,garowe,57,SO,1561588673,56,8.41,48.48,79.43,28.68
369,inirida,73,CO,1561588490,95,3.87,-67.92,75.29,2.82
370,yokadouma,91,CM,1561588673,99,3.52,15.05,67.55,3.67
371,filadelfia,0,PY,1561588673,59,-22.35,-60.04,54.59,6.04
372,kholodnyy,82,RU,1561588674,36,62.72,147.95,61.97,12.15
373,voh,100,NC,1561588674,92,-20.95,164.69,70.79,15.39
374,henties bay,57,NA,1561588674,93,-22.12,14.28,55.99,5.99
375,lerwick,90,GB,1561588674,87,60.15,-1.15,51.8,16.11
376,bundaberg,75,AU,1561588674,88,-24.87,152.35,69.01,9.17
377,kasamwa,95,TZ,1561588674,78,-2.84,32.42,67.91,1.79
378,vancouver,20,CA,1561588520,56,49.26,-123.12,77.0,13.87
379,tutoia,20,BR,1561588674,88,-2.76,-42.27,80.6,5.82
380,aragarcas,40,BR,1561588595,45,-15.9,-52.25,82.4,1.97
381,thunder bay,75,CA,1561588675,53,48.41,-89.26,82.99,11.41
382,nova odesa,6,UA,1561588675,61,47.3,31.79,65.93,2.82
383,abha,0,SA,1561588675,17,18.22,42.5,75.2,3.36
384,newala,6,TZ,1561588675,87,-10.94,39.28,62.87,1.01
385,torbay,20,CA,1561588623,71,47.66,-52.73,54.0,5.82
386,nosy varika,13,MG,1561588533,92,-20.58,48.53,65.57,8.08
387,pisco,16,PE,1561588675,30,-13.71,-76.2,71.6,5.82
388,rock sound,0,BS,1561588675,63,24.9,-76.2,85.01,8.14
389,aguimes,20,ES,1561588675,68,27.91,-15.45,71.6,17.22
390,fort nelson,90,CA,1561588676,67,58.81,-122.69,60.8,8.05
391,laukaa,90,FI,1561588676,93,62.42,25.95,55.99,2.24
392,hamilton,20,CA,1561588414,44,43.26,-79.87,82.99,13.87
393,flin flon,75,CA,1561588676,67,54.77,-101.88,62.6,8.05
394,chaska,1,US,1561588598,39,44.79,-93.6,87.01,5.08
395,christchurch,8,NZ,1561588627,100,-43.53,172.64,50.0,8.52
396,saint george,40,GR,1561588676,61,39.45,22.34,80.01,1.25
397,dalby,20,AU,1561588676,77,-27.18,151.26,59.0,13.87
398,dingle,100,PH,1561588677,82,11.0,122.67,80.15,7.72
399,kodinsk,15,RU,1561588677,52,58.6,99.18,71.15,5.01
400,rock springs,1,US,1561588581,7,41.59,-109.2,82.4,17.22
401,floro,98,NO,1561588677,76,61.6,5.03,51.8,6.93
402,fukue,75,JP,1561588677,88,35.03,136.69,78.01,8.05
403,kloulklubed,90,PW,1561588677,94,7.04,134.26,78.8,10.29
